Polymer,SMILES descriptor 1,SMILES descriptor 2,Comonomer percentage,Anion,Amion SMILES,log Li:functional group,approxMW(kDa),approxTg,chain_architecture,logCond60,Temperature (℃)
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,19,21.5,branched,-6.010850752,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.079181246,19,8.72,branched,-5.756176322,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.204119983,19,8.06,branched,-6.279968984,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,19,0.543,branched,-6.111465606,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,18,-17.8,branched,-4.901888108,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.079181246,18,-20.8,branched,-5.029106919,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.204119983,18,-22.8,branched,-5.029119303,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,18,-25.6,branched,-4.966118865,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,7.9,-26.6,branched,-4.428192809,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.079181246,7.9,-27.8,branched,-4.477191173,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.204119983,7.9,-31.8,branched,-4.304358931,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,7.9,-37.2,branched,-4.375192379,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,8.1,-18.9,branched,-4.195436525,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.079181246,8.1,-31.1,branched,-3.772680721,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.204119983,8.1,-35.6,branched,-3.629527631,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,8.1,-39.8,branched,-3.807212738,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,7.8,-29.1,branched,-3.969291168,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.079181246,7.8,-36.9,branched,-3.732945182,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.204119983,7.8,-43.5,branched,-3.695438776,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,7.8,-47.5,branched,-3.66205309,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,7.4,-27.3,branched,-3.710677434,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.079181246,7.4,-40.8,branched,-3.49429521,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.204119983,7.4,-44.5,branched,-3.131450171,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,7.4,-48.3,branched,-3.301688787,60
poly (tert-butyl glycidyl ether-alt-carbon dioxide),C(COC(C)(C)C)OC,C(=O)O,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,44,18,branched,-7.51533429,60
poly (n-butyl glycidyl ether-alt-carbon dioxide),C(COCCCC)OC,C(=O)O,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,190,-20,branched,-5.836820328,60
poly (methoxy ethyl glycidyl ether-alt-carbon dioxide),C(COCCOC)OC,C(=O)O,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.477121255,17,-55,branched,-4.528742245,60
poly (ethylene oxide-co-methyl glycidyl ether),CCO,C(COC)OC,78.3,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.204119983,1000,-68.6,branched,-4.771455143,60
poly (ethylene oxide-co-ethoxyethyl glycidyl ether),CCO,C(COCCOCC)OC,82.94,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.204119983,1000,-53,branched,-4.613009445,60
poly (ethylene oxide-co-digol methyl glycidyl ether),CCO,C(COCCOCCOC)OC,71.15,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.204119983,1000,-77,branched,-4.013896227,60
